-130	-1.104780e+00	2.644428e+00	2.482572e+00	2000
-135	-1.121971e+00	2.405310e+00	2.720533e+00	2000
-140	-1.123367e+00	2.138560e+00	2.851136e+00	2000
-145	-1.125378e+00	1.852735e+00	3.021549e+00	2000
-150	-1.177298e+00	1.509880e+00	3.081349e+00	2000
-155	-1.287721e+00	1.133863e+00	3.201265e+00	1800
-160	-1.368422e+00	8.019338e-01	3.220942e+00	1590
-165	-1.471567e+00	5.092779e-01	3.440223e+00	1820
-170	-1.281249e+00	2.690148e-01	3.136909e+00	1850
-175	-9.284630e-01	1.415779e-01	2.795384e+00	1760
180	-0.1298649	0.1350824	-0.01469750000000003
-180	-0.1298649	0.1350824	-0.01469750000000003
