1	1.477638e-02	3.608412e-01	2.109798e+00	2930
2	1.567044e-01	3.654395e-01	2.669835e+00	2820
3	2.405535e-01	3.840910e-01	2.969602e+00	2770
4	3.486042e-01	3.901567e-01	3.499447e+00	2640
5	4.446731e-01	4.116488e-01	3.836867e+00	2600
6	4.883226e-01	4.255193e-01	3.891757e+00	2620
7	5.966243e-01	4.895185e-01	4.080578e+00	2580
8	6.815301e-01	4.888359e-01	4.435803e+00	2630
9	7.684269e-01	5.221105e-01	4.545847e+00	2680
10	8.566556e-01	5.541924e-01	4.710472e+00	2670
11	9.106598e-01	6.122773e-01	4.787836e+00	2740
12	9.784824e-01	6.525663e-01	4.854021e+00	2730
13	1.023791e+00	6.655429e-01	4.910775e+00	2740
14	1.116168e+00	7.227133e-01	5.096365e+00	2810
15	1.139756e+00	7.624632e-01	5.053031e+00	2780
16	1.200533e+00	8.035433e-01	5.127421e+00	2780
17	1.213934e+00	8.256223e-01	5.066164e+00	2670
18	1.254326e+00	8.979481e-01	5.105962e+00	2740
19	1.288005e+00	9.449625e-01	5.080015e+00	2710
20	1.299242e+00	1.024174e+00	5.042706e+00	2680
21	1.329341e+00	1.081023e+00	5.062401e+00	2590
22	1.356983e+00	1.094590e+00	5.018874e+00	2660
23	1.355989e+00	1.124859e+00	4.971105e+00	2650
24	1.374498e+00	1.195822e+00	4.942288e+00	2660
25	1.375375e+00	1.225923e+00	4.882659e+00	2650
26	1.366164e+00	1.294038e+00	4.809724e+00	2660
27	1.362532e+00	1.376577e+00	4.778432e+00	2610
28	1.330864e+00	1.470169e+00	4.714344e+00	2660
29	1.317109e+00	1.496448e+00	4.613491e+00	2630
-1	-2.945667e-01	4.086446e-01	-8.618140e-01	2550
-2	-3.386984e-01	3.870285e-01	-1.245415e+00	2480
-3	-3.206545e-01	3.737885e-01	-1.647162e+00	2850
-4	-2.886745e-01	3.881012e-01	-1.680364e+00	2990
-5	-2.122440e-01	3.793911e-01	-2.458195e+00	2870
-6	-1.427248e-01	4.116297e-01	-2.292682e+00	2810
-7	-1.402348e-01	4.221710e-01	-2.551560e+00	2810
-8	-9.149380e-02	4.304033e-01	-2.916780e+00	2480
-9	-5.028134e-02	4.435809e-01	-3.205873e+00	3090
-10	-8.620483e-02	4.680214e-01	-3.331593e+00	2450
-11	-5.853807e-05	4.604800e-01	-3.632029e+00	2400
-12	-3.820263e-02	4.801647e-01	-3.792903e+00	2390
-13	2.092998e-03	5.086964e-01	-4.116469e+00	2270
-14	-1.495453e-01	5.191941e-01	-4.300847e+00	2070
-15	-8.678544e-02	5.704657e-01	-4.223094e+00	2090
-16	-1.032282e-01	6.292266e-01	-4.205175e+00	2040
-17	-1.612070e-01	6.203378e-01	-4.429119e+00	1920
-18	-2.790610e-01	6.524504e-01	-4.388157e+00	1830
-19	-2.053285e-01	6.894292e-01	-4.524095e+00	1700
-20	-1.153883e-01	7.654292e-01	-4.198089e+00	1840
-21	-2.179989e-01	7.982800e-01	-4.299490e+00	1580
-22	-2.748890e-01	8.202600e-01	-4.324850e+00	1620
-23	-2.109862e-01	8.545947e-01	-4.242990e+00	1610
-24	-2.454181e-01	9.078393e-01	-4.196406e+00	1710
-25	-2.013372e-01	9.634610e-01	-4.068417e+00	1740
-26	-2.612449e-01	9.998516e-01	-4.112482e+00	2060
-27	-2.832161e-01	1.051760e+00	-3.965297e+00	2180
-28	-2.943007e-01	1.077255e+00	-3.939845e+00	2440
-29	-2.851408e-01	1.171851e+00	-3.781157e+00	2620
30	1.306516e+00	1.538211e+00	4.560218e+00	2620
35	1.224605e+00	1.846883e+00	4.227262e+00	1820
40	1.083204e+00	2.177218e+00	3.850365e+00	1800
45	9.083585e-01	2.532256e+00	3.472454e+00	2210
50	9.079200e-01	2.830676e+00	3.084413e+00	3530
55	8.779975e-01	3.155470e+00	2.658387e+00	5000
60	8.725611e-01	3.401138e+00	2.305059e+00	5000
65	8.509586e-01	3.564762e+00	1.978909e+00	5000
70	8.472434e-01	3.585477e+00	1.639390e+00	5000
75	8.165852e-01	3.400186e+00	1.331570e+00	5000
80	8.361991e-01	2.864141e+00	9.480885e-01	5000
85	8.741776e-01	2.414729e+00	5.469179e-01	5000
90	9.353878e-01	2.100087e+00	1.279418e-01	5000
95	9.790576e-01	1.876340e+00	-1.444476e-01	4810
100	9.813095e-01	1.662351e+00	-3.360830e-01	5000
105	9.777659e-01	1.469502e+00	-5.109011e-01	5000
110	1.011793e+00	1.388340e+00	-6.768163e-01	5000
115	1.103212e+00	1.285944e+00	-7.284564e-01	4030
120	1.114266e+00	1.272363e+00	-8.380973e-01	5000
125	1.049800e+00	1.271480e+00	-1.012864e+00	4780
130	8.903894e-01	1.258613e+00	-1.333603e+00	4970
135	6.028027e-01	1.275659e+00	-1.887233e+00	5000
140	3.462352e-01	1.277659e+00	-2.511875e+00	5000
145	1.794515e-01	1.310144e+00	-3.216533e+00	5000
150	1.302850e-01	1.171442e+00	-3.845319e+00	4570
155	3.388161e-01	9.788285e-01	-4.172069e+00	3920
160	4.655295e-01	7.599674e-01	-4.508683e+00	2610
165	8.502759e-01	5.796335e-01	-4.300190e+00	2820
170	9.925279e-01	4.522276e-01	-3.667081e+00	3250
175	8.330661e-01	3.911668e-01	-2.313396e+00	4150
-30	-2.720232e-01	1.169673e+00	-3.755405e+00	2770
-35	-1.741776e-01	1.250479e+00	-3.201571e+00	3850
-40	4.008146e-02	1.320991e+00	-2.437884e+00	3490
-45	2.749578e-01	1.230119e+00	-1.815235e+00	3350
